Eddard,Stark,Ned@westeros.net,Research & Development,100,127
Benjen,Stark,ColdHands@westeros.net,Auditing,601,123
Catelyn,Stark,Mother@westeros.net,Human Resources,302,175
Arya,Stark,A_Girl@westeros.net,Research & Development,103,113
Robb,Stark,YoungWolf@westeros.net,Research & Development,104,164
Sansa,Stark,LittleDove@westeros.net,Research & Development,105,104
Bran,Stark,TheRaven@westeros.net,Research & Development,106,137
Rickon,Stark,Shaggydog@westeros.net,Research & Development,107,122
Jon,Snow,TheGhostBrother@westeros.net,Auditing,608,172
Tyrion,Lannister,TheImp@westeros.net,Accounting,409,100
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,410,192
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,411,131
Robert,Baratheon,TheUsurper@westeros.net,Sales,512,120
Stannis,Baratheon,ThePromised@westeros.net,Sales,513,178
Renly,Baratheon,SummerKing@westeros.net,Sales,514,195
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,215,186
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,216,124
